Unit,Way,Keel_Date,Delivery_Date,Yard_Cost, Procurement_Cost,Facilities_Cost,Admin_Cost,TC,VC,FC,Yard,Direct_Hours,Indirect_Hours,Total_ManHours,Way_Days,Outfitting_Days,Total_Production_Days
1,1,4/30/41,12/30/41,1613203,888165,88815,25666,2615849,2501368,114481,Bethlehem,870870,327818,1198688,150,94,244
2,2,5/15/41,1/19/42,1545574,888165,86414,24972,2545125,2433739,111386,Bethlehem,831745,313916,1145661,163,86,249
3,3,6/21/41,1/29/42,1470687,888165,83755,24204,2466811,2358852,107959,Bethlehem,788406,308175,1096581,147,75,222
4,4,6/21/41,2/9/42,1421123,888165,81995,23695,2414978,2309288,105690,Bethlehem,758934,293346,1052280,168,65,233
5,5,7/15/41,2/20/42,1397852,888165,81169,23457,2390643,2286017,104626,Bethlehem,735197,283848,1019045,144,76,220
6,6,7/15/41,2/27/42,1354256,888165,79621,23009,2345051,2242421,102630,Bethlehem,710342,271138,981480,168,59,227
8,8,8/25/41,3/30/42,1267658,888165,76546,22121,2254490,2155823,98667,Bethlehem,668785,241103,909888,174,43,217
9,9,9/3/41,3/18/42,1151856,888165,77226,22316.5914,2139563.591,2040021,99542.5914,Bethlehem,675662,248713,924375,143,53,196
10,10,9/12/41,4/11/42,1236111,888165,75426,21796.5714,2221498.571,2124276,97222.5714,Bethlehem,652911,231234,884145,163,48,211
11,11,9/22/41,5/9/42,1236111,888165,72434,20932.1826,2217642.183,2124276,93366.1826,Bethlehem,603625,194216,797841,187,42,229
12,1,9/27/41,3/13/42,1277991,888165,76913,22226.1657,2265295.166,2166156,99139.1657,Bethlehem,669066,247255,916321,119,48,167
13,12,10/13/41,4/27/42,1186664,888165,73670,21289.263,2169788.263,2074829,94959.263,Bethlehem,623944,209301,833245,152,44,196
14,13,10/20/41,5/16/42,1147240,888165,72270,20884.803,2128559.803,2035405,93154.803,Bethlehem,607450,194143,801593,174,34,208
15,2,10/29/41,4/17/42,1204048,888165,74287,21467.5143,2187967.514,2092213,95754.5143,Bethlehem,636509,218486,854995,122,48,170
16,14,11/5/41,5/29/42,1110199,888165,70955,20504.8995,2089823.9,1998364,91459.8995,Bethlehem,585715,177228,762943,176,29,205
17,3,11/19/41,4/30/42,1172827,888165,73179,21147.4131,2155318.413,2060992,94326.4131,Bethlehem,619694,204628,824322,115,47,162
18,5,12/10/41,4/23/42,1177161,888165,73333,21191.9037,2159850.904,2065326,94524.9037,Bethlehem,618363,207616,825979,84,50,134
19,4,12/10/41,5/12/42,1140510,888165,72031,20815.7559,2121521.756,2028675,92846.7559,Bethlehem,601081,191226,792307,115,38,153
20,15,12/13/41,6/19/42,1065198,888165,69357,20043.2373,2042763.237,1953363,89400.2373,Bethlehem,556260,156869,713129,168,20,188
21,16,12/13/41,7/11/42,1068694,888165,69481,20079.0609,2046419.061,1956859,89560.0609,Bethlehem,546704,153488,700192,194,16,210
22,6,1/6/42,5/5/42,1142364,888165,72097,20834.8233,2123460.823,2030529,92931.8233,Bethlehem,603135,192317,795452,81,38,119
23,7,1/6/42,5/20/42,1111815,888165,71013,20521.6557,2091514.656,1999980,91534.6557,Bethlehem,588102,178831,766933,96,38,134
24,9,1/28/42,5/23/42,1108418,888165,70892,20486.6988,2087961.699,1996583,91378.6988,Bethlehem,587029,178252,765281,89,26,115
25,1,1/28/42,5/27/42,1103958,888165,70734,20441.0526,2083298.053,1992123,91175.0526,Bethlehem,585240,175559,760799,85,34,119
26,8,2/18/42,6/2/42,1077145,888165,69782,20166.0198,2055258.02,1965310,89948.0198,Bethlehem,570574,163486,734060,77,27,104
27,10,2/25/42,6/8/42,1066754,888165,69413,20059.4157,2044391.416,1954919,89472.4157,Bethlehem,562945,158855,721800,78,25,103
